MKT%,Categories,Price%,Age%,Performance%,Size%,Reliability%,Acessibility%,Awarness%
0.213626897,0,0.091836735,0.2,0,0,-0.090909091,0.61,0.65
0.201874442,0,0.142857143,0.15,0.070175439,-0.027972028,0.151515152,0.63,0.82
0.190270753,0,0.142857143,0.2,0.035087719,0.013986014,0.087878788,0.50,0.58
0.170038679,0,0.142857143,0.15,0.052631579,-0.020979021,0.060606061,0.50,0.58
0.148616483,0,0.142857143,0.15,0.01754386,-0.006993007,-0.151515152,0.46,0.58
0.156107862,0,0.142857143,0.55,0.1,-0.033333333,0.060606061,0.54,0.55
0.235942933,1,-0.025641026,-0.585714286,0,0,-0.034482759,0.44,0.62
0.295887783,1,-0.192307692,-0.571428571,0.045454545,-0.016853933,-0.165517241,0.33,0.53
0.175878192,1,0.076923077,-0.2,0.363636364,-0.04494382,-0.034482759,0.34,0.80
0.156336171,1,0.038461538,-0.571428571,0.136363636,0.005617978,-0.034482759,0.33,0.53
0.135355473,1,0.076923077,-0.571428571,0.090909091,-0.011235955,0.003448276,0.33,0.53
0.199946431,1,0.05,-0.342857143,0.764705882,-0.071038251,-0.034482759,0.40,0.52
0.257986252,2,0.115942029,2,-0.102040816,0.098039216,0.111111111,0.61,0.77
0.171856045,2,0.072463768,1.8,-0.071428571,0.058823529,0.022222222,0.52,0.60
0.169429842,2,0.101449275,2,-0.102040816,0.078431373,0.022222222,0.41,0.48
0.167812374,2,0.101449275,2,-0.102040816,0.088235294,0.022222222,0.41,0.48
0.134654266,2,0.101449275,1.8,-0.071428571,0.058823529,0.055555556,0.41,0.48
0.171992481,2,0.085714286,2.4,-0.101123596,0.081081081,0.022222222,0.48,0.49
0.253661088,3,0.161016949,0.8,0,-0.039215686,0.102040816,0.48,0.75
0.230125523,3,0.110169492,1,0,0.006535948,0.06122449,0.37,0.58
0.188284519,3,0.118644068,0.9,0.009615385,-0.006535948,0.102040816,0.29,0.43
0.163702929,3,0.118644068,0.8,0.028846154,-0.019607843,0.020408163,0.29,0.43
0.158472803,3,0.118644068,1,-0.192307692,0.013071895,0.044897959,0.29,0.43
0.198621554,3,0.1,1.5,0,-0.03125,0.020408163,0.37,0.46
0.260869565,4,0.169491525,0.9,0,0.03125,0.081081081,0.55,0.75
0.237851662,4,0.118644068,1.1,-0.085106383,0.0625,0.027027027,0.34,0.43
0.159079284,4,0.084745763,0.8,0,0,0.027027027,0.40,0.50
0.143734015,4,0.118644068,1,-0.340425532,0.166666667,0.056756757,0.34,0.43
0.136061381,4,0.118644068,0.8,0.021276596,0,0.081081081,0.34,0.43
0.185722928,4,0.1,1.6,0,0.037735849,0.027027027,0.42,0.46
0.210205296,0,0.12244898,0.2,0.01754386,0,0.03030303,0.59,0.68
0.194287414,0,0.102040816,0.2,0,0,0.090909091,0.45,0.55
0.247991669,0,0.102040816,0.2,0,-0.006993007,0.060606061,0.63,0.75
0.196965189,0,0.12244898,0.15,0.087719298,-0.034965035,0.060606061,0.68,0.82
0.08077953,0,0.142857143,1.05,-0.035087719,0.013986014,0.060606061,0.50,0.58
0.021719726,0,-0.193877551,1.8,-0.473684211,0.188811189,-0.151515152,0.68,0.80
0.013240107,0,-0.142857143,1.8,-0.473684211,0.188811189,-0.151515152,0.50,0.53
0.013240107,0,-0.244897959,0.45,-0.614035088,0.244755245,-0.212121212,0.59,0.62
0.015620351,0,-0.183673469,0.5,-0.596491228,0.230769231,-0.151515152,0.63,0.71
0.004016662,0,-0.346938776,0.55,-0.50877193,0.216783217,-0.257575758,0.45,0.53
0.000743826,0,0.346938776,0.8,-0.298245614,-0.230769231,0.151515152,0.50,0.43
0.000892591,0,0.346938776,-0.1,-0.175438596,-0.328671329,0.151515152,0.45,0.75
0.234624146,1,-0.179487179,-0.557142857,0.272727273,-0.02247191,-0.155172414,0.34,0.53
0.222155617,1,-0.051282051,-0.585714286,0,0,-0.103448276,0.44,0.62
0.228030212,1,0.012820513,-0.2,0.363636364,-0.04494382,-0.034482759,0.50,0.80
0.13235823,1,0.076923077,-0.2,0.363636364,-0.04494382,-0.034482759,0.33,0.53
0.18091356,1,0.025641026,-0.571428571,0.045454545,-0.011235955,-0.034482759,0.44,0.71
